数据分类,配件类别,产品系列,物料名称,物料代码,物料描述,备注,标签,标识,IMG
配件,电源,电源适配器(圆头),ADS-26FSG-12 12024EPCN(圆头)(全球通中性),310101855,"适配器,ADS-26FSG-12 12024EPCN,国标,12V2A,Φ2.1",,PwID,0,ADS-26FSG
配件,电源,电源适配器(圆头),ADS-26FSG-12 12024EPCN,101700736,"适配器,ADS-26FSG-12 12024EPCN,国标,12V2A,Φ2.1",,PwIH,1,ADS-26FSG
配件,电源,电源适配器(圆头),ADS-25FSG-19 24024EPCN,101702114,"适配器,ADS-26FSG-12 12024EPCN,国标,12V2A,Φ2.1",,PwMED,1,ADS-26FSG
配件,电源,充电头,PDA适配器,101701998,"(新)适配器,DYS05200CQ-A,AC100-240V,5V2A,国标,V,USB,白色",,PwIP,1,
配件,电源,电源适配器,KPL-060M-II,101701011,"24V2.5A,60W,Φ2.1,无地线",,Pw24,1,KPL-060M
配件,电源,电源适配器线缆,"交流电源线,国标,弯三插转C13",101500844,"AC Cable,CCC,PHP304RB  to C13,1.5m,BK",,Pw24,1,KPL-AC
配件,电源,电源适配器,KPL-060M-VI(全球通中性),310100901,"桌面式适配器,24V2.5A,60W,1.2m,open两线",桌面式适配器，需要额外选配AC电源线,Power,0,KPL-060M
配件,电源,电源适配器线缆,交流电源线_国标_弯三插_C13_1.2米,310100840,交流电源线_国标_弯三插_C13_1.2米(中性),搭配适配器应用,Power,0,KPL-AC
配件,电源,开关电源,ERPF-400-48,101701338,"开关电源,AC100-240V,48V8.3A,400W",,Pw48,1,LRS-150
配件,电源,开关电源线缆,"交流电源线,国标,弯三插转Open,2m",101500762,"交流电源线,国标,弯三插转Open,2m,黑",,Pw48,1,LRS-AC
配件,电源,开关电源1,LRS-50-24(全球通中性),310100905,"开关电源,24V2.09A,50W,接线端子",开关电源1，需要额外选配AC电源线,Power,0,LRS-50
配件,电源,开关电源2,LRS-150F-24(全球通中性),310100904,"开关电源,24V6.25A,150W,接线端子",开关电源2，需要额外选配AC电源线,Power,0,LRS-150
