数据分类,产品大类,产品系列,具体型号,物料代码,物料描述,备注,电源,电源标识,安装板,安装板标识,一体线,一体线标识,IO电源线,IO电源线标识,网线,网线标识,灯板,灯板标识,镜头罩,镜头罩标识,FA镜头,FA镜头标识,扩展配件,扩展配件标识
相机,ID800系列,ID803系列U口,MV-ID803M-03S-WBN-SR-U(国内标配),313201715,0.3MP，3.1m镜头，1颗暖白LED，标准距离120mm，USB型号,支持U口/串口线缆互换,,,Braket8E,0,10P10C-U,1,,,,,,,,,,,,
相机,ID800系列,ID803系列U口,MV-ID803M-03S-WBN-SR-U(国内中性),313201712,0.3MP，3.1m镜头，1颗暖白LED，标准距离120mm，USB型号,支持U口/串口线缆互换,,,Braket8E,0,10P10C-U,1,,,,,,,,,,,,
相机,ID800系列,ID803系列U口,MV-ID803M-03S-WBP-SR-U(国内标配),313202189,0.3MP，3.1m镜头，1颗暖白LED，标准距离120mm，偏振前罩，USB型号,支持U口/串口线缆互换,,,Braket8E,0,10P10C-U,1,,,,,,,,,,,,
相机,ID800系列,ID803系列U口,MV-ID803M-03S-WBP-SR-U(国内中性),313202191,0.3MP，3.1m镜头，1颗暖白LED，标准距离120mm，偏振前罩，USB型号,支持U口/串口线缆互换,,,Braket8E,0,10P10C-U,1,,,,,,,,,,,,
相机,ID800系列,ID803系列串口,MV-ID803M-03S-WBN-SR-R(国内标配),313201714,0.3MP，3.1m镜头，1颗暖白LED，标准距离120mm，串口型号,支持U口/串口线缆互换,Power;PwID,0,Braket8E,0,10P10C-R,1,,,,,,,,,,,,
相机,ID800系列,ID803系列串口,MV-ID803M-03S-WBN-SR-R(国内中性),313201713,0.3MP，3.1m镜头，1颗暖白LED，标准距离120mm，串口型号,支持U口/串口线缆互换,Power;PwID,0,Braket8E,0,10P10C-R,1,,,,,,,,,,,,
相机,ID800系列,ID803系列串口,MV-ID803M-03S-WBP-SR-R(国内标配),313202193,0.3MP，3.1m镜头，1颗暖白LED，标准距离120mm，偏振前罩，串口型号,支持U口/串口线缆互换,Power;PwID,0,Braket8E,0,10P10C-R,1,,,,,,,,,,,,
相机,ID800系列,ID803系列串口,MV-ID803M-03S-WBP-SR-R(国内中性),313202192,0.3MP，3.1m镜头，1颗暖白LED，标准距离120mm，偏振前罩，串口型号,支持U口/串口线缆互换,Power;PwID,0,Braket8E,0,10P10C-R,1,,,,,,,,,,,,
相机,ID800系列,ID803系列网口,MV-ID803M-03S-WBN-SR(国内标配),313202187,0.3MP，3.1m镜头，1颗暖白LED，标准距离120mm，网口型号,标配网口母头，自行搭配网线使用,Power,0,Braket8E,0,,,,,,,,,,,,,,
相机,ID800系列,ID803系列网口,MV-ID803M-03S-WBN-SR(国内中性),313202188,0.3MP，3.1m镜头，1颗暖白LED，标准距离120mm，网口型号,标配网口母头，自行搭配网线使用,Power,0,Braket8E,0,,,,,,,,,,,,,,
相机,ID800系列,ID803系列网口,MV-ID803M-03S-WBP-SR(国内标配),313202286,0.3MP，3.1m镜头，1颗暖白LED，标准距离120mm，偏振前罩，网口型号,标配网口母头，自行搭配网线使用,Power,0,Braket8E,0,,,,,,,,,,,,,,
